graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
email-Eu-core,pr,8MB,GRASP,1.000000,+0.0000,,insufficient_data,Faldu et al. HPCA 2020 Fig 10
email-Eu-core,pr,8MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,8MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,8MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
roadNet-CA,bc,16kB,GRASP,0.999890,-0.0108,,no_claim,
roadNet-CA,bc,16kB,LRU,0.999998,+0.0000,,no_claim,
roadNet-CA,bc,16kB,POPT,0.998702,-0.1296,,no_claim,
roadNet-CA,bc,16kB,SRRIP,0.999998,+0.0000,,no_claim,
roadNet-CA,bc,1MB,GRASP,0.810849,+16.2343,,no_claim,
roadNet-CA,bc,1MB,LRU,0.648506,+0.0000,,no_claim,
roadNet-CA,bc,1MB,POPT,0.825242,+17.6736,,no_claim,
roadNet-CA,bc,1MB,SRRIP,0.654958,+0.6452,,no_claim,
roadNet-CA,bc,256kB,GRASP,0.915301,-7.3878,,no_claim,
roadNet-CA,bc,256kB,LRU,0.989179,+0.0000,,no_claim,
roadNet-CA,bc,256kB,POPT,0.958136,-3.1043,,no_claim,
roadNet-CA,bc,256kB,SRRIP,0.987384,-0.1795,,no_claim,
roadNet-CA,bc,4kB,GRASP,0.999992,-0.0008,,no_claim,
roadNet-CA,bc,4kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,bc,4kB,POPT,0.999916,-0.0084,,no_claim,
roadNet-CA,bc,4kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,bc,64kB,GRASP,0.994350,-0.5485,,no_claim,
roadNet-CA,bc,64kB,LRU,0.999835,+0.0000,,no_claim,
roadNet-CA,bc,64kB,POPT,0.994936,-0.4899,,no_claim,
roadNet-CA,bc,64kB,SRRIP,0.999787,-0.0048,,no_claim,
roadNet-CA,bfs,16kB,GRASP,0.995827,-0.4173,,no_claim,
roadNet-CA,bfs,16kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,bfs,16kB,POPT,0.999935,-0.0065,,no_claim,
roadNet-CA,bfs,16kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,bfs,1MB,GRASP,0.866917,+62.5858,,no_claim,
roadNet-CA,bfs,1MB,LRU,0.241059,+0.0000,,no_claim,
roadNet-CA,bfs,1MB,POPT,0.592323,+35.1264,,no_claim,
roadNet-CA,bfs,1MB,SRRIP,0.284867,+4.3808,,no_claim,
roadNet-CA,bfs,256kB,GRASP,0.876772,-6.3168,,no_claim,
roadNet-CA,bfs,256kB,LRU,0.939940,+0.0000,,no_claim,
roadNet-CA,bfs,256kB,POPT,0.854695,-8.5245,,no_claim,
roadNet-CA,bfs,256kB,SRRIP,0.931919,-0.8021,,no_claim,
roadNet-CA,bfs,4kB,GRASP,0.999762,-0.0238,,no_claim,
roadNet-CA,bfs,4kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,bfs,4kB,POPT,1.000000,+0.0000,,no_claim,
roadNet-CA,bfs,4kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,bfs,64kB,GRASP,0.941734,-5.7829,,no_claim,
roadNet-CA,bfs,64kB,LRU,0.999563,+0.0000,,no_claim,
roadNet-CA,bfs,64kB,POPT,0.995887,-0.3676,,no_claim,
roadNet-CA,bfs,64kB,SRRIP,0.999460,-0.0103,,no_claim,
roadNet-CA,cc,16kB,GRASP,0.999506,-0.0494,,no_claim,
roadNet-CA,cc,16kB,LRU,1.000000,+0.0000,,no_claim,
roadNet-CA,cc,16kB,POPT,0.999862,-0.0138,,no_claim,
roadNet-CA,cc,16kB,SRRIP,1.000000,+0.0000,,no_claim,
roadNet-CA,cc,1MB,GRASP,0.945125,-4.6568,,no_claim,
roadNet-CA,cc,1MB,LRU,0.991693,+0.0000,,no_claim,
roadNet-CA,cc,1MB,POPT,0.941915,-4.9778,,no_claim,
roadNet-CA,cc,1MB,SRRIP,0.990865,-0.0828,,no_claim,
