graph,app,l3_size,policy,status,delta_pct,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,margin_pp,claim_kind,citation
email-Eu-core,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,insufficient_data,0.0,~,,5.0,2.0,0.0,popt_near_grasp_if_big_gap,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
roadNet-CA,bc,16kB,POPT_GE_GRASP,ok,-0.1098,-,,,1.5,1.6098,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
roadNet-CA,bc,16kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.1098,~,,5.0,2.0,7.1098,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
roadNet-CA,bc,1MB,POPT_GE_GRASP,ok,-15.5876,-,,,1.5,17.0876,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
roadNet-CA,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,15.5876,~,,5.0,2.0,22.5876,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
roadNet-CA,bc,256kB,POPT_GE_GRASP,ok,-6.2817,-,,,1.5,7.7817,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
roadNet-CA,bc,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,6.2817,~,,5.0,2.0,13.2817,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
roadNet-CA,bc,4kB,POPT_GE_GRASP,ok,-0.0107,-,,,1.5,1.5107,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
roadNet-CA,bc,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.0107,~,,5.0,2.0,7.0107,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
roadNet-CA,bc,64kB,POPT_GE_GRASP,ok,-1.1568,-,,,1.5,2.6568,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
roadNet-CA,bc,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.1568,~,,5.0,2.0,8.1568,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
