graph,app,l3_size,family,regime,policy,miss_rate,oracle,gap_pp,is_winner,n_policies_in_cell
com-orkut,bfs,4MB,social,large,GRASP,0.981189,0.981189,0.000,1,4
com-orkut,bfs,4MB,social,large,LRU,0.996484,0.981189,1.530,0,4
com-orkut,bfs,4MB,social,large,POPT,0.989118,0.981189,0.793,0,4
com-orkut,bfs,4MB,social,large,SRRIP,0.996442,0.981189,1.525,0,4
com-orkut,bfs,8MB,social,large,GRASP,0.980723,0.970827,0.990,0,4
com-orkut,bfs,8MB,social,large,LRU,0.995799,0.970827,2.497,0,4
com-orkut,bfs,8MB,social,large,POPT,0.970827,0.970827,0.000,1,4
com-orkut,bfs,8MB,social,large,SRRIP,0.995759,0.970827,2.493,0,4
com-orkut,cc,1MB,social,large,GRASP,0.639883,0.639883,0.000,1,4
com-orkut,cc,1MB,social,large,LRU,0.741545,0.639883,10.166,0,4
com-orkut,cc,1MB,social,large,POPT,0.699313,0.639883,5.943,0,4
com-orkut,cc,1MB,social,large,SRRIP,0.708078,0.639883,6.820,0,4
com-orkut,cc,4MB,social,large,GRASP,0.410630,0.410630,0.000,1,4
com-orkut,cc,4MB,social,large,LRU,0.567614,0.410630,15.698,0,4
com-orkut,cc,4MB,social,large,POPT,0.527796,0.410630,11.717,0,4
com-orkut,cc,4MB,social,large,SRRIP,0.553200,0.410630,14.257,0,4
com-orkut,cc,8MB,social,large,GRASP,0.249408,0.249408,0.000,1,4
com-orkut,cc,8MB,social,large,LRU,0.506299,0.249408,25.689,0,4
com-orkut,cc,8MB,social,large,POPT,0.339212,0.249408,8.980,0,4
com-orkut,cc,8MB,social,large,SRRIP,0.422010,0.249408,17.260,0,4
com-orkut,pr,1MB,social,large,GRASP,0.638302,0.635334,0.297,0,4
com-orkut,pr,1MB,social,large,LRU,0.742564,0.635334,10.723,0,4
com-orkut,pr,1MB,social,large,POPT,0.635334,0.635334,0.000,1,4
com-orkut,pr,1MB,social,large,SRRIP,0.706531,0.635334,7.120,0,4
com-orkut,pr,4MB,social,large,GRASP,0.299712,0.224549,7.516,0,4
com-orkut,pr,4MB,social,large,LRU,0.345609,0.224549,12.106,0,4
com-orkut,pr,4MB,social,large,POPT,0.224549,0.224549,0.000,1,4
com-orkut,pr,4MB,social,large,SRRIP,0.303554,0.224549,7.900,0,4
com-orkut,pr,8MB,social,large,GRASP,0.159906,0.119728,4.018,0,4
com-orkut,pr,8MB,social,large,LRU,0.185573,0.119728,6.584,0,4
com-orkut,pr,8MB,social,large,POPT,0.119728,0.119728,0.000,1,4
com-orkut,pr,8MB,social,large,SRRIP,0.159476,0.119728,3.975,0,4
com-orkut,sssp,1MB,social,large,GRASP,0.592884,0.592884,0.000,1,4
com-orkut,sssp,1MB,social,large,LRU,0.686743,0.592884,9.386,0,4
com-orkut,sssp,1MB,social,large,POPT,0.612615,0.592884,1.973,0,4
com-orkut,sssp,1MB,social,large,SRRIP,0.653862,0.592884,6.098,0,4
com-orkut,sssp,4MB,social,large,GRASP,0.146198,0.143065,0.313,0,4
com-orkut,sssp,4MB,social,large,LRU,0.173036,0.143065,2.997,0,4
com-orkut,sssp,4MB,social,large,POPT,0.143065,0.143065,0.000,1,4
com-orkut,sssp,4MB,social,large,SRRIP,0.152881,0.143065,0.982,0,4
com-orkut,sssp,8MB,social,large,GRASP,0.016905,0.015217,0.169,0,4
com-orkut,sssp,8MB,social,large,LRU,0.016185,0.015217,0.097,0,4
com-orkut,sssp,8MB,social,large,POPT,0.017233,0.015217,0.202,0,4
com-orkut,sssp,8MB,social,large,SRRIP,0.015217,0.015217,0.000,1,4
email-Eu-core,bc,1MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,1MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,1MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,1MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,4MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,4MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,4MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,4MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,8MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,8MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,8MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,bc,8MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,1MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,1MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,1MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,1MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,4MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,4MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,4MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,4MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,8MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,8MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,8MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,bfs,8MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,1MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,1MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,1MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,1MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,4MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,4MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,4MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,4MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,8MB,social,large,GRASP,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,8MB,social,large,LRU,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,8MB,social,large,POPT,1.000000,1.000000,0.000,1,4
email-Eu-core,pr,8MB,social,large,SRRIP,1.000000,1.000000,0.000,1,4
soc-LiveJournal1,bc,1MB,social,large,GRASP,0.831167,0.825139,0.603,0,4
soc-LiveJournal1,bc,1MB,social,large,LRU,0.864855,0.825139,3.972,0,4
soc-LiveJournal1,bc,1MB,social,large,POPT,0.825139,0.825139,0.000,1,4
soc-LiveJournal1,bc,1MB,social,large,SRRIP,0.850112,0.825139,2.497,0,4
soc-LiveJournal1,bc,4MB,social,large,GRASP,0.600089,0.600089,0.000,1,4
soc-LiveJournal1,bc,4MB,social,large,LRU,0.655187,0.600089,5.510,0,4
soc-LiveJournal1,bc,4MB,social,large,POPT,0.602828,0.600089,0.274,0,4
soc-LiveJournal1,bc,4MB,social,large,SRRIP,0.629684,0.600089,2.960,0,4
soc-LiveJournal1,bc,8MB,social,large,GRASP,0.440550,0.440550,0.000,1,4
soc-LiveJournal1,bc,8MB,social,large,LRU,0.502491,0.440550,6.194,0,4
soc-LiveJournal1,bc,8MB,social,large,POPT,0.446690,0.440550,0.614,0,4
soc-LiveJournal1,bc,8MB,social,large,SRRIP,0.471911,0.440550,3.136,0,4
soc-LiveJournal1,bfs,1MB,social,large,GRASP,0.783742,0.783742,0.000,1,4
soc-LiveJournal1,bfs,1MB,social,large,LRU,0.835709,0.783742,5.197,0,4
soc-LiveJournal1,bfs,1MB,social,large,POPT,0.786012,0.783742,0.227,0,4
soc-LiveJournal1,bfs,1MB,social,large,SRRIP,0.810706,0.783742,2.696,0,4
soc-LiveJournal1,bfs,4MB,social,large,GRASP,0.572008,0.572008,0.000,1,4
soc-LiveJournal1,bfs,4MB,social,large,LRU,0.644598,0.572008,7.259,0,4
soc-LiveJournal1,bfs,4MB,social,large,POPT,0.586998,0.572008,1.499,0,4
soc-LiveJournal1,bfs,4MB,social,large,SRRIP,0.618504,0.572008,4.650,0,4
soc-LiveJournal1,bfs,8MB,social,large,GRASP,0.509865,0.504653,0.521,0,4
soc-LiveJournal1,bfs,8MB,social,large,LRU,0.563191,0.504653,5.854,0,4
soc-LiveJournal1,bfs,8MB,social,large,POPT,0.504653,0.504653,0.000,1,4
soc-LiveJournal1,bfs,8MB,social,large,SRRIP,0.545957,0.504653,4.130,0,4
soc-LiveJournal1,cc,1MB,social,large,GRASP,0.727663,0.681907,4.576,0,4
soc-LiveJournal1,cc,1MB,social,large,LRU,0.798646,0.681907,11.674,0,4
soc-LiveJournal1,cc,1MB,social,large,POPT,0.681907,0.681907,0.000,1,4
soc-LiveJournal1,cc,1MB,social,large,SRRIP,0.774459,0.681907,9.255,0,4
soc-LiveJournal1,cc,4MB,social,large,GRASP,0.470690,0.470690,0.000,1,4
soc-LiveJournal1,cc,4MB,social,large,LRU,0.575481,0.470690,10.479,0,4
soc-LiveJournal1,cc,4MB,social,large,POPT,0.490627,0.470690,1.994,0,4
soc-LiveJournal1,cc,4MB,social,large,SRRIP,0.553523,0.470690,8.283,0,4
soc-LiveJournal1,cc,8MB,social,large,GRASP,0.317264,0.317264,0.000,1,4
soc-LiveJournal1,cc,8MB,social,large,LRU,0.468595,0.317264,15.133,0,4
soc-LiveJournal1,cc,8MB,social,large,POPT,0.375347,0.317264,5.808,0,4
soc-LiveJournal1,cc,8MB,social,large,SRRIP,0.435289,0.317264,11.802,0,4
soc-LiveJournal1,pr,1MB,social,large,GRASP,0.682525,0.631166,5.136,0,4
soc-LiveJournal1,pr,1MB,social,large,LRU,0.765369,0.631166,13.420,0,4
soc-LiveJournal1,pr,1MB,social,large,POPT,0.631166,0.631166,0.000,1,4
soc-LiveJournal1,pr,1MB,social,large,SRRIP,0.733963,0.631166,10.280,0,4
soc-LiveJournal1,pr,4MB,social,large,GRASP,0.368881,0.300410,6.847,0,4
soc-LiveJournal1,pr,4MB,social,large,LRU,0.461634,0.300410,16.122,0,4
soc-LiveJournal1,pr,4MB,social,large,POPT,0.300410,0.300410,0.000,1,4
soc-LiveJournal1,pr,4MB,social,large,SRRIP,0.420129,0.300410,11.972,0,4
soc-LiveJournal1,pr,8MB,social,large,GRASP,0.225332,0.189314,3.602,0,4
